Word_ID	Form	Cognate_set_ID	Segments	Alignment	Doubt	Cognate_detection_method	Cognate_source	Alignment_method	Alignment_source
4097	a³¹tsi³¹	501	a ³¹ + ts i ³¹	a ³¹ + ts i - - ³¹		expert	Hill2017	LingPy:SCA	
2	pʐa⁵⁵pʐa⁵⁵	33	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵		expert	Hill2017	LingPy:SCA	
5462	pjɑ̃²²	518	p j ɑ̃ ∼ ²²	p j ɑ̃ ∼ ²²		expert	Hill2017	LingPy:SCA	
9	pan³¹ʃɔ̱ʔ⁵⁵	567	p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵	p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
10	pəŋ³¹ʃɔʔ⁵⁵	567	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
12	chot⁵⁵	392	cʰ o t ⁵⁵	cʰ o t ⁵⁵		expert	Hill2017	LingPy:SCA	
13	lu̱ŋ⁵⁵la̱ŋ⁵⁵	302	l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵	l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
14	a³¹la̱p⁵⁵	362	a ³¹ + l a̰ p ⁵⁵	a ³¹ + l a̰ p ⁵⁵		expert	Hill2017	LingPy:SCA	
4112	tan³¹	672	t a n ³¹	t a n ³¹		expert	Hill2017	LingPy:SCA	
4114	ŋjaŋ⁵¹	476	ŋ j a ŋ ⁵¹	ŋ j a ŋ ⁵¹		expert	Hill2017	LingPy:SCA	
4115	tɛ̃³⁵	672	t ɛ̃ ∼ ³⁵	t ɛ̃ ∼ ³⁵		expert	Hill2017	LingPy:SCA	
4118	taːn³³	672	t aː n ³³	t aː n ³³		expert	Hill2017	LingPy:SCA	
4119	ŋiɔ̃⁵⁵	476	ŋ i ɔ̃ ∼ ⁵⁵	ŋ i ɔ̃ ∼ ⁵⁵		expert	Hill2017	LingPy:SCA	
24	pau⁵¹voʔ⁵⁵	333	p a u ⁵¹ + v o ʔ ⁵⁵	p a u ⁵¹ - + v - o ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
25	phə̆³¹ɣɔʔ³¹	333	pʰ ə̆ ³¹ + ɣ ɔ ʔ ³¹	pʰ ə̆ - ³¹ - + ɣ - ɔ ʔ ³¹		expert	Hill2017	LingPy:SCA	
28	la³¹jɛt³¹	658	l a ³¹ + j ɛ t ³¹	l a ³¹ + j ɛ t ³¹		expert	Hill2017	LingPy:SCA	
29	phə̆³¹ɣuk³¹	333	pʰ ə̆ ³¹ + ɣ u k ³¹	pʰ ə̆ - ³¹ - + ɣ - u k ³¹		expert	Hill2017	LingPy:SCA	
30	chaŋ³¹m̥an⁵⁵	281	cʰ a ŋ ³¹ + m̥ a n ⁵⁵	cʰ a ŋ ³¹ + m̥ a n ⁵⁵		expert	Hill2017	LingPy:SCA	
7515	chuiw	531	tsʰ ə w	tsʰ ə w		expert	Hill2017	LingPy:SCA	
4785	tauʔ³¹	699	t a u ʔ ³¹	t a u ʔ ³¹		expert	Hill2017	LingPy:SCA	
4138	ni³¹mɔ³¹	468	n i ³¹ + m ɔ ³¹	n i ³¹ + m ɔ ³¹		expert	Hill2017	LingPy:SCA	
8236	a³¹◦xʐoʔ⁵⁵	590	a ³¹ + xʐ o ʔ ⁵⁵	a ³¹ + xʐ o ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4141	pui⁵¹	566	p u i ⁵¹	p u i ⁵¹		expert	Hill2017	LingPy:SCA	
5457	ɑ⁵³tθɑ⁵⁵	193	ɑ ⁵³ + tθ ɑ ⁵⁵	ɑ ⁵³ + tθ - ɑ ⁵⁵		expert	Hill2017	LingPy:SCA	
7517	ip	165	i p	i p		expert	Hill2017	LingPy:SCA	
4144	pui⁵⁵	566	p u i ⁵⁵	p u i ⁵⁵		expert	Hill2017	LingPy:SCA	
2056	ʃo̱³³	104	ʃ o̰ ³³	ʃ o̰ ³³		expert	Hill2017	LingPy:SCA	
