ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
4097,xiandao,857,a³¹tsi³¹,a ³¹ + ts i ³¹,bad concept,,
2,achanglongchuan,98,pʐa⁵⁵pʐa⁵⁵,p ʐ a ⁵⁵ + p ʐ a ⁵⁵,bad concept,,
5462,rangoon,1441,pjɑ̃²²,p j ɑ̃ ∼ ²²,,,
9,lashi,98,pan³¹ʃɔ̱ʔ⁵⁵,p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵,bad concept,,
10,maru,98,pəŋ³¹ʃɔʔ⁵⁵,p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵,bad concept,,
12,xiandao,98,chot⁵⁵,cʰ o t ⁵⁵,bad concept,,
13,atsi,98,lu̱ŋ⁵⁵la̱ŋ⁵⁵,l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵,bad concept,,
14,bola,98,a³¹la̱p⁵⁵,a ³¹ + l a̰ p ⁵⁵,bad concept,,
4112,achanglongchuan,1404,tan³¹,t a n ³¹,bad concept,,
4114,atsi,1404,ŋjaŋ⁵¹,ŋ j a ŋ ⁵¹,bad concept,,
4115,bola,1404,tɛ̃³⁵,t ɛ̃ ∼ ³⁵,bad concept,,
4118,lashi,1404,taːn³³,t aː n ³³,bad concept,,
4119,maru,1404,ŋiɔ̃⁵⁵,ŋ i ɔ̃ ∼ ⁵⁵,bad concept,,
24,atsi,587,pau⁵¹voʔ⁵⁵,p a u ⁵¹ + v o ʔ ⁵⁵,,,
25,bola,587,phə̆³¹ɣɔʔ³¹,pʰ ə̆ ³¹ + ɣ ɔ ʔ ³¹,,,
28,lashi,587,la³¹jɛt³¹,l a ³¹ + j ɛ t ³¹,,,
29,maru,587,phə̆³¹ɣuk³¹,pʰ ə̆ ³¹ + ɣ u k ³¹,,,
30,xiandao,587,chaŋ³¹m̥an⁵⁵,cʰ a ŋ ³¹ + m̥ a n ⁵⁵,,,
7515,oldburmese,1261,chuiw,tsʰ ə w,,,
4785,bola,1278,tauʔ³¹,t a u ʔ ³¹,,,
4138,achanglongchuan,1343,ni³¹mɔ³¹,n i ³¹ + m ɔ ³¹,,,
8236,achanglongchuan,2250,a³¹◦xʐoʔ⁵⁵,a ³¹ + xʐ o ʔ ⁵⁵,,,
4141,atsi,1343,pui⁵¹,p u i ⁵¹,,,
7517,oldburmese,1585,ip,i p,,,
4144,bola,1343,pui⁵⁵,p u i ⁵⁵,,,
2056,lashi,1634,ʃo̱³³,ʃ o̰ ³³,,,
4148,lashi,1343,pei³¹,p e i ³¹,,,
4150,maru,1343,pa³¹,p a ³¹,,,
4152,xiandao,1343,n³¹mɔ³¹,n ³¹ + m ɔ ³¹,,,
2058,maru,1634,jɔ³¹,j ɔ ³¹,,,
2059,xiandao,1634,pak³⁵,p a k ³⁵,,,
694,lashi,1446,leː⁵⁵,l eː ⁵⁵,,,
2048,achanglongchuan,1634,pak³⁵,p a k ³⁵,,,
7521,oldburmese,1440,thuyḥ,tʰ u j ⁵⁵,,,
7523,oldburmese,1442,ryap,r j a p,,,
697,xiandao,1446,lɔ⁵⁵,l ɔ ⁵⁵,,,
2063,achanglongchuan,1435,tɕhet⁵⁵tauʔ⁵⁵,tɕʰ e t ⁵⁵ + t a u ʔ ⁵⁵,,,
2065,atsi,1435,ʃŏ²¹pik²¹,ʃ ŏ ²¹ + p i k ²¹,,,
2066,bola,1435,ʃă³⁵pak³¹,ʃ ă ³⁵ + p a k ³¹,,,
4798,achanglongchuan,1443,so³¹,s o ³¹,,,
2068,lashi,1435,ʃo⁵⁵pəː³¹,ʃ o ⁵⁵ + p əː ³¹,,,
