ID	Language_name	Language_ID	Parameter_name	Parameter_ID	Value	Form	Segments	Motivation_structure	Source	Comment
4097	Xiandao	xian1249	the stone (a piece of)	857	a³¹ tsi³¹  | 0379.29	a³¹tsi³¹	a ³¹ + ts i ³¹	a-prefix stone	Huang1992,Matisoff2015	bad concept
2	Achang_Longchuan	long1373	all	98	pʐa⁵⁵ pʐa⁵⁵  | 0962.28 | 0963.28	pʐa⁵⁵pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	all all	Huang1992,Matisoff2015	bad concept
5462	Rangoon	nucl1310	to fly (move through air)	1441		pjɑ̃²²	p j ɑ̃ ∼ ²²		Huang1992,Matisoff2015	
9	Lashi	lash1242	all	98	pan³¹ ʃɔ̱ʔ⁵⁵  | 0962.33  | 0963.33	pan³¹ʃɔ̱ʔ⁵⁵	p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵	all1 all2	Huang1992,Matisoff2015	bad concept
10	Maru	maru1249	all	98	pəŋ³¹ ʃɔʔ⁵⁵   | 0962.31 | 0963.31	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	? ?	Huang1992,Matisoff2015	bad concept
12	Xiandao	xian1249	all	98	chot⁵⁵  | 0962.29 | 0963.29	chot⁵⁵	cʰ o t ⁵⁵	all	Huang1992,Matisoff2015	bad concept
13	Atsi	zaiw1240	all	98	lu̱ŋ⁵⁵ la̱ŋ⁵⁵  | 0962.30	lu̱ŋ⁵⁵la̱ŋ⁵⁵	l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵	all-1 all-2	Huang1992,Matisoff2015	bad concept
14	Bola	pela1242	all	98	a³¹ la̱p⁵⁵  | 0962.32	a³¹la̱p⁵⁵	a ³¹ + l a̰ p ⁵⁵	a-prefix all	Huang1992,Matisoff2015	bad concept
4112	Achang_Longchuan	long1373	straight	1404	tan³¹  | 1003.28	tan³¹	t a n ³¹	straight	Huang1992,Matisoff2015	bad concept
4114	Atsi	zaiw1240	straight	1404	ŋjaŋ⁵¹  | 1003.30	ŋjaŋ⁵¹	ŋ j a ŋ ⁵¹	straight	Huang1992,Matisoff2015	bad concept
4115	Bola	pela1242	straight	1404	tɛ̃³⁵  | 1003.32	tɛ̃³⁵	t ɛ̃ ∼ ³⁵	straight	Huang1992,Matisoff2015	bad concept
4118	Lashi	lash1242	straight	1404	taːn³³  | 1003.33	taːn³³	t aː n ³³		Huang1992,Matisoff2015	bad concept
4119	Maru	maru1249	straight	1404	ŋiɔ̃⁵⁵  | 1003.31	ŋiɔ̃⁵⁵	ŋ i ɔ̃ ∼ ⁵⁵		Huang1992,Matisoff2015	bad concept
24	Atsi	zaiw1240	the ant	587	pau⁵¹ voʔ⁵⁵  | 0365.30	pau⁵¹voʔ⁵⁵	p a u ⁵¹ + v o ʔ ⁵⁵	insect ant	Huang1992,Matisoff2015	
25	Bola	pela1242	the ant	587	phə̆³¹ ɣɔʔ³¹  | 0365.32	phə̆³¹ɣɔʔ³¹	pʰ ə̆ ³¹ + ɣ ɔ ʔ ³¹	insect vermin	Huang1992,Matisoff2015	
28	Lashi	lash1242	the ant	587	la³¹ jɛt ³¹  | 0365.33	la³¹jɛt³¹	l a ³¹ + j ɛ t ³¹		Huang1992,Matisoff2015	
29	Maru	maru1249	the ant	587	phə̆³¹ ɣuk³¹  | 0365.31	phə̆³¹ɣuk³¹	pʰ ə̆ ³¹ + ɣ u k ³¹	insect mouse	Huang1992,Matisoff2015	
30	Xiandao	xian1249	the ant	587	chaŋ³¹ m̥an⁵⁵  | 0365.29	chaŋ³¹m̥an⁵⁵	cʰ a ŋ ³¹ + m̥ a n ⁵⁵	ant1 ant2	Huang1992,Matisoff2015	
7515	Old_Burmese	oldb1235	to sing	1261		chuiw	tsʰ ə w		Okell1971,Luce1985,Nishi1999	
4785	Bola	pela1242	to vomit	1278	tauʔ³¹  | 1535.32	tauʔ³¹	t a u ʔ ³¹	vomit	Huang1992,Matisoff2015	
4138	Achang_Longchuan	long1373	the sun	1343	ni³¹ mɔ³¹  | 0002.28	ni³¹mɔ³¹	n i ³¹ + m ɔ ³¹	day-sun mo-suffix	Huang1992,Matisoff2015	
