ID	gloss	conceptset	concepticon_gloss
bed-1	above	1741	ABOVE
bed-2	all	98	ALL
bed-3	the ant	587	ANT
bed-4	the armpit	1886	ARMPIT
bed-5	bad	1292	BAD
bed-6	the bamboo	1927	BAMBOO
bed-7	the barley (tibetan or highland)	932	BARLEY
bed-8	to be alive	1422	BE ALIVE
bed-9	the belly	1251	BELLY
bed-10	below, under	1485	BELOW OR UNDER
bed-11	big	1202	BIG
bed-12	the bird	937	BIRD
bed-13	to bite	1403	BITE
bed-14	black	163	BLACK
bed-15	the blood	946	BLOOD
bed-16	to blow (of wind)	175	BLOW (OF WIND)
bed-17	the body hair (hair or fur)	189	HAIR (BODY)
bed-18	the bone	1394	BONE
bed-19	the branch	1531	BRANCH
bed-20	the breast (female)	1402	BREAST
bed-21	to burn [intransitive]	1428	BURNING
bed-22	to buy	1869	BUY
bed-23	to chew	321	CHEW
bed-24	the child (young human)	1304	CHILD (YOUNG HUMAN)
bed-25	the cloud	1489	CLOUD
bed-26	cold (of temperature)	1287	COLD
bed-27	to come	1446	COME
bed-28	correct (right)	1725	CORRECT (RIGHT)
bed-29	to count	1420	COUNT
bed-30	to cry (weep)	1420	COUNT
bed-31	dark	706	DARK
bed-32	the daughter	1357	DAUGHTER
bed-33	the dew	1977	DEW
bed-34	to die	1494	DIE
bed-35	to dig	1418	DIG
bed-36	dirty	1230	DIRTY
bed-37	the dog	2009	DOG
bed-38	the dream	2374	DREAM
bed-39	to drink	1401	DRINK
bed-40	dry	1398	DRY
bed-41	the dust	2	DUST
bed-42	the ear	1247	EAR
bed-43	early	672	EARLY
bed-44	the earth (soil)	1228	EARTH (SOIL)
bed-45	the earthworm	2350	EARTHWORM
bed-46	to eat	1336	EAT
bed-47	the egg	744	EGG
bed-48	eight	1705	EIGHT
bed-49	the eye	1248	EYE
bed-50	far	1406	FAR
bed-51	the father	1217	FATHER
bed-52	the feather	1201	FEATHER
bed-53	to fight	1423	FIGHT
bed-54	the fire	221	FIRE
bed-55	firewood	10	FIREWOOD
bed-56	the fish	227	FISH
bed-57	five	493	FIVE
bed-58	the flea	232	FLEA
bed-59	to float	1574	FLOAT
bed-60	to flow	2003	FLOW
bed-61	the flower	239	FLOWER
bed-62	to fly (move through air)	1441	FLY (MOVE THROUGH AIR)
bed-63	the fog	249	FOG
bed-64	the foot	1301	FOOT
bed-65	the forest	420	FOREST
bed-66	four	1500	FOUR
bed-67	the fox	1312	FOX
bed-68	the frog	503	FROG
bed-69	the front (front side)	2194	FRONT (PART)
bed-70	the frost	2034	FROST
bed-71	the fruit	1507	FRUIT
bed-72	full	1429	FULL
bed-73	to give	1447	GIVE
bed-74	the goat	1502	GOAT
bed-75	good	1035	GOOD
bed-76	the grass	606	GRASS
bed-77	green	1425	GREEN
bed-78	the hail	609	HAIL
bed-79	the hair (of the head)	1040	HAIR
bed-80	the hand	1277	HAND
bed-81	hard	1884	HARD
bed-82	he or she [third person singular]	262	HE OR SHE OR IT
bed-83	the head	1256	HEAD
bed-84	to hear	1408	HEAR
bed-85	the heart	1223	HEART
bed-86	heavy	1210	HEAVY
bed-87	here	136	HERE
bed-88	to hide (conceal)	602	HIDE (CONCEAL)
bed-89	high / tall	1265	HIGH
bed-90	to hold	1448	HOLD
bed-91	the hoof	152	HOOF
bed-92	horizontal	2376	HORIZONTAL
bed-93	the horn (keratinized skin)	1393	HORN (ANATOMY)
bed-94	the horse	615	HORSE
bed-95	hot	1286	HOT
bed-96	the house	1252	HOUSE
