# Wordlist

# DATA
ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN	STEDT_ANALYSIS	STEDT_ID
#
6489	165		ŋ ɔ ⁵⁵	I [first person singular]	Xiandao	I	0928.29	Achang (Xiandao)	ŋɔ⁵⁵	I-me		91	TBL		1209		ŋɔ⁵⁵		ŋ ɔ ⁵⁵	38607	2530	999
6187	165		ŋ ɑ ²²	I [first person singular]	Rangoon	I	0928.27	Burmese (Rangoon)	ŋɑ²²	me		91	TBL		1209		ŋɑ²²		ŋ ɑ ²²	34950	2530	5930
6259	165		ŋ o ⁵¹	I [first person singular]	Atsi	I	0928.30	Atsi [Zaiwa]	ŋo⁵¹	I-me		91	TBL		1209		ŋo⁵¹		ŋ o ⁵¹	42262	2530	5157
6348	165		ŋ ɔ ³¹	I [first person singular]	Maru	I	0928.31	Langsu (Luxi)	ŋɔ³¹	me		91	TBL		1209		ŋɔ³¹		ŋ ɔ ³¹	44104	2530	9237
6432	165		ŋ o ³¹	I [first person singular]	Lashi	I	0928.33	Leqi (Luxi)	ŋo³¹	me		91	TBL		1209		ŋo³¹		ŋ o ³¹	47708	2530	7049
6631	165		ŋ ɔ ⁵⁵	I [first person singular]	Achang_Longchuan	I	0928.28	Achang (Longchuan)	ŋɔ⁵⁵	I-me		91	TBL		1209		ŋɔ⁵⁵		ŋ ɔ ⁵⁵	36827	2530	2684
6549	165		ŋ a ⁵⁵	I [first person singular]	Bola	I	0928.32	Bola (Luxi)	ŋa⁵⁵	I-me		91	TBL		1209		ŋa⁵⁵		ŋ a ⁵⁵	45887	2530	8136
#
6324	1154		tʰ o ʔ ⁵⁵ + m a i ²¹	above	Atsi	over / above	0731.30	Atsi [Zaiwa]	thoʔ⁵⁵mai²¹	over on		3 40123	TBL		1741		tʰoʔ⁵⁵mai²¹		tʰ o ʔ ⁵⁵ + m a i ²¹	42049	2718 10123	2903
#
6326	130		o̰ - - ⁵¹ + m a i ²¹	below, under	Atsi	below / under	0732.30	Atsi [Zaiwa]	o̱⁵¹mai²¹	under on		66 40146	TBL		1485		o̱⁵¹mai²¹		o̰ ⁵¹ + m a i ²¹	42050	2542 10146	13280
6584	130		ɔ - - ³¹ + m ɛ - ³¹	below, under	Maru	below / under	0732.31	Langsu (Luxi)	ɔ³¹mɛ³¹	below on		66 40119	TBL		1485		ɔ³¹mɛ³¹		ɔ ³¹ + m ɛ ³¹	43908	2542 10119	13019
#
369	111	other	n o ʔ ²¹	black	Atsi	black	1005.30	Atsi [Zaiwa] TBL	noʔ²¹  | 1005.30	black		92	TBL		163	noʔ²¹	noʔ²¹	black	n o ʔ ²¹	396807	2483	13268
375	111	other	n ɔ ʔ ⁵⁵	black	Xiandao	black	1005.29	Achang (Xiandao) TBL	nɔʔ⁵⁵  | 1005.29	black		92	TBL		163	nɔʔ⁵⁵	nɔʔ⁵⁵	black	n ɔ ʔ ⁵⁵	396806	2483	12861
370	111	other	n a ʔ ³¹	black	Bola	black	1005.32	Bola (Luxi) TBL	naʔ³¹  | 1005.32	black		92	TBL		163	naʔ³¹	naʔ³¹	black	n a ʔ ³¹	396809	2483	5259
373	111	other	n ɔː ʔ ³¹	black	Lashi	black	1005.33	Leqi (Luxi) TBL	nɔːʔ³¹  | 1005.33	black		92	TBL		163	nɔːʔ³¹	nɔːʔ³¹	black	n ɔː ʔ ³¹	396810	2483	12267
374	111	other	n ɔ ʔ ³¹	black	Maru	black	1005.31	Langsu (Luxi) TBL	nɔʔ³¹  | 1005.31	black		92	TBL		163	nɔʔ³¹	nɔʔ³¹	black	n ɔ ʔ ³¹	396808	2483	13559
5528	111	other	n ɛ ʔ ⁴	black	Rangoon		1005.27			black		92	TBL		163	nɛʔ⁴	nɛʔ⁴	black	n ɛ ʔ ⁴	396804	2483	10692
#
674	169	other	k j o - ʔ ²¹	cold (of temperature)	Atsi	cold (weather, water)	1063.30	Atsi [Zaiwa] TBL	kjoʔ²¹  | 1063.30	cold	bad concept	40127	TBL		1287	kjoʔ²¹	kjoʔ²¹	cold (water)	k j o ʔ ²¹	399721	10127	7482
#
3337	12	other	tʃ o ²¹	correct (right)	Atsi	right / correct	1045.30	Atsi [Zaiwa] TBL	tʃo²¹  | 1045.30	correct		605	TBL		1725	tʃo²¹	tʃo²¹	right / correct	tʃ o ²¹	398784	5790	3186
3339	12	other	tʃ ɔ ³¹	correct (right)	Bola	right / correct	1045.32	Bola (Luxi) TBL	tʃɔ³¹  | 1045.32	correct		605	TBL		1725	tʃɔ³¹	tʃɔ³¹	right / correct	tʃ ɔ ³¹	398786	5790	12702
3343	12	other	tʃ ɔ ³¹	correct (right)	Maru	right / correct	1045.31	Langsu (Luxi) TBL	tʃɔ³¹  | 1045.31	correct		605	TBL		1725	tʃɔ³¹	tʃɔ³¹	right / correct	tʃ ɔ ³¹	398785	5790	13438
#
6201	84		n ɔ ʔ ³¹	dark	Maru	dark	1013.31	Langsu (Luxi)	nɔʔ³¹	black		92	TBL		706		nɔʔ³¹		n ɔ ʔ ³¹	44189	2483	13560
6304	84		n o ʔ ²¹	dark	Atsi	dark	1013.30	Atsi [Zaiwa]	noʔ²¹	black		92	TBL		706		noʔ²¹		n o ʔ ²¹	42349	2483	13269
